system   D            wsystem.c:583  maybe_parent_dir                 [   0.00271] Also searching C:\Users\student\Desktop\AI2\Playground\Storm\Diablo2\game\
audio-dsound D           dsound.cpp:462  _dsound_start_voice              [   0.09722] Starting voice
audio-dsound D           dsound.cpp:491  _dsound_start_voice              [   0.09723] CreateSoundBuffer
audio-dsound D           dsound.cpp:500  _dsound_start_voice              [   0.09786] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:506  _dsound_start_voice              [   0.09788] Starting _dsound_update thread
audio-dsound I           dsound.cpp:516  _dsound_start_voice              [   0.09802] Voice started
dtor     D               dtor.c:184  _al_register_destructor          [   0.09806] added dtor for object 05AD4E20, func 0F7123EC
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09808] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09809] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09810] 
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.09883] Font cour.ttf loaded with pixel size 0 x 20.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.09885]     ascent=17.0, descent=-6.0, height=23.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.09887] added dtor for object 05AED0E8, func 0F711B36
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.09975] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.09977]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.09979] added dtor for object 05AFBD68, func 0F711B36
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10082] removed dtor for object 05AFBD68
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10136] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10138]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10140] added dtor for object 05AF59E0, func 0F711B36
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10197] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10198]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10201] added dtor for object 05B084E8, func 0F711B36
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10235] removed dtor for object 05B084E8
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10293] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10295]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10297] added dtor for object 05B07FD0, func 0F711B36
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10349] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10350]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10352] added dtor for object 05B11FA0, func 0F711B36
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10388] removed dtor for object 05B11FA0
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10453] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10454]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10456] added dtor for object 05B111E0, func 0F711B36
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10512] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10514]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10516] added dtor for object 05AF1390, func 0F711B36
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10578] removed dtor for object 05AF1390
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10682] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10684]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10686] added dtor for object 05B29B50, func 0F711B36
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10740] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10742]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10744] added dtor for object 05B30600, func 0F711B36
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10778] removed dtor for object 05B30600
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10831] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10833]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10835] added dtor for object 05B30570, func 0F711B36
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10888] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10889]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10891] added dtor for object 05B39DA0, func 0F711B36
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10926] removed dtor for object 05B39DA0
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10980] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10981]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10983] added dtor for object 05B39CF0, func 0F711B36
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.11039] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.11041]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.11043] added dtor for object 05B434C8, func 0F711B36
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.11076] removed dtor for object 05B434C8
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.11127] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.11128]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.11130] added dtor for object 05B42BF0, func 0F711B36
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.50640] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.50643] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.50644] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.50645] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.50646] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.50647] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.50648] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.50648] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.50649] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   3.50650] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   3.50651] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   3.50652] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   3.50653] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   3.50748] added dtor for object 0806F0F0, func 0F712590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.51293] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.51294] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.57790] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.57793] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.57794] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.57795] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.57796] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.57797] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.57798] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.57799] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.57800] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   3.57801] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   3.57802] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   3.57803] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   3.57804] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   3.58083] added dtor for object 0806A500, func 0F712590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.58099] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.58101] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   3.58421] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   3.58422]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   3.58427] added dtor for object 0803B2B0, func 0F711B36
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   3.58961] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   3.58963]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   3.58967] added dtor for object 080440C0, func 0F711B36
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.58993] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.58995] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.58995] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.58996] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.58997] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.58998] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.58999] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.59000] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.59001] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   3.59002] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   3.59003] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   3.59004] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   3.59005] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   3.59115] added dtor for object 08045298, func 0F712590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.59246] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.59248] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.66719] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.66721] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.66722] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.66723] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.66724] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.66725] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.66726] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.66727] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.66728] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   3.66729] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   3.66730] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   3.66731] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   3.66732] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   3.66766] Glyph 23: 8x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.66774] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.66775] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.66844] Glyph 24: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.66851] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.66852] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.66881] Glyph 20: 7x11 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.66888] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.66889] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.66918] Glyph 21: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.66925] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.66926] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.66955] Glyph 22: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.66963] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.66964] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   3.67051] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   3.67052]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   3.67054] added dtor for object 080B0518, func 0F711B36
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.67877] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.67879] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.67880] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.67881] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.67882] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.67883] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.67884] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.67885] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.67886] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   3.67886] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   3.67887] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   3.67889] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   3.67889] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   3.67929] Glyph 23: 8x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.67942] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.67943] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68051] Glyph 24: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68058] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68059] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68089] Glyph 20: 7x11 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68096] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68098] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68127] Glyph 21: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68134] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68135] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68168] Glyph 22: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68175] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68176] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.68202] removed dtor for object 080440C0
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   3.68270] Font cour.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   3.68272]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   3.68274] added dtor for object 080439C0, func 0F711B36
font     D                ttf.c:406  cache_glyph                      [   3.68302] Glyph 3 has zero size.
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.68315] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.68317] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.68318] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.68319] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.68320] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.68320] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.68321] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.68322] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   3.68323] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   3.68324] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   3.68325] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   3.68326] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   3.68327] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   3.68363] Glyph 49: 9x10 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68374] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68375] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68473] Glyph 88: 9x8 (12x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68485] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68486] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68537] Glyph 80: 9x8 (12x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68544] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68545] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68573] Glyph 82: 7x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68579] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68581] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68609] Glyph 71: 8x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68615] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68617] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68644] Glyph 72: 8x9 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68650] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68651] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68679] Glyph 86: 7x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68686] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68687] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68713] Glyph 51: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68720] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68721] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68748] Glyph 85: 7x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68754] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68755] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68782] Glyph 70: 7x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68789] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68790] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68816] Glyph 29: 4x8 (4x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68823] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68824] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68851] Glyph 24: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68857] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68858] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68888] Glyph 25: 8x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68894] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68895] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68923] Glyph 40: 8x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68930] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68932] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68957] Glyph 79: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68963] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68965] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.68992] Glyph 68: 8x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.68998] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.68999] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.69026] Glyph 83: 8x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.69033] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.69034] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.69061] Glyph 55: 9x10 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.69067] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.69068] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.69094] Glyph 76: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.69100] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.69101] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.69127] Glyph 17: 4x4 (4x4)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.69134] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.69135] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.69162] Glyph 21: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.69168] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.69169] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.69196] Glyph 23: 8x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.69202] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.69204] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.69230] Glyph 26: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.69237] _al_d3d_sync_bitmap (system) ref count == 1
